Lat,Lon,City,Country Code,Max Temp,Humidity,Cloudiness,Wind Speed
-61.25,-91.6,punta arenas,cl,52.65,91.0,40.0,35.57
-73.4,-137.25,rikitea,pf,79.55,100.0,80.0,15.48
-85.73,-40.6,ushuaia,ar,48.6,70.0,40.0,27.51
-31.56,-41.97,laguna,br,84.2,14.0,20.0,10.29
-18.76,-38.77,conceicao da barra,br,82.38,82.0,76.0,18.72
51.06,-53.6,saint anthony,ca,43.38,48.0,75.0,19.46
-9.54,-60.88,aripuana,br,85.53,71.0,48.0,1.83
47.63,-108.96,lewistown,us,30.67,58.0,90.0,12.75
-36.14,70.26,mahebourg,mu,80.6,83.0,40.0,11.41
-77.78,18.83,bredasdorp,za,68.0,82.0,80.0,4.7
-79.07,161.58,bluff,nz,72.44,77.0,0.0,5.97
49.57,-142.56,sitka,us,65.1,22.0,0.0,17.6
-7.01,-20.33,georgetown,sh,87.8,62.0,40.0,13.87
-43.9,26.67,port elizabeth,za,30.83,92.0,90.0,14.99
67.39,-48.21,qasigiannguit,gl,8.6,65.0,75.0,13.87
-32.89,137.78,whyalla,au,60.8,63.0,80.0,19.46
32.78,-70.29,hamilton,bm,69.8,77.0,90.0,24.16
14.97,-120.42,cabo san lucas,mx,85.17,37.0,75.0,8.05
-79.47,-146.23,mataura,pf,77.88,45.0,0.0,23.64
52.91,154.94,oktyabrskiy,ru,32.0,98.0,90.0,8.95
42.99,114.82,zhangjiakou,cn,-1.1,71.0,0.0,5.64
4.35,-22.38,bubaque,gw,79.86,85.0,20.0,5.19
-59.34,7.59,hermanus,za,63.89,92.0,88.0,4.74
21.89,-13.43,atar,mr,55.52,22.0,0.0,7.76
76.79,-58.76,upernavik,gl,-2.85,100.0,36.0,1.05
8.1,-44.49,saint-georges,gf,14.21,49.0,44.0,5.75
-1.29,-42.12,tutoia,br,87.8,66.0,20.0,13.87
88.3,-166.01,barrow,us,85.8,39.0,64.0,13.13
-5.89,45.03,micheweni,tz,80.31,100.0,0.0,13.91
-2.05,-65.55,maraa,br,87.33,69.0,20.0,3.4
-28.89,141.12,broken hill,au,60.06,61.0,24.0,19.73
-56.42,-26.2,chuy,uy,78.6,69.0,0.0,14.03
75.61,-121.25,norman wells,ca,-23.81,67.0,75.0,2.39
-44.46,-100.25,castro,cl,56.42,72.0,88.0,7.43
50.42,-123.86,powell river,ca,42.12,70.0,75.0,5.82
4.54,43.51,xuddur,so,68.16,51.0,0.0,8.77
12.05,-34.77,sao filipe,cv,69.96,98.0,0.0,20.62
-51.63,163.65,tuatapere,nz,70.28,70.0,24.0,21.3
-66.51,90.1,busselton,au,64.56,100.0,0.0,22.86
13.38,58.44,salalah,om,77.0,31.0,0.0,12.75
73.45,117.1,saskylakh,ru,-30.53,51.0,64.0,3.62
9.56,139.62,airai,pw,69.33,94.0,88.0,2.28
19.85,56.07,nizwa,om,47.91,72.0,0.0,2.73
-34.85,-93.82,lebu,cl,59.0,58.0,20.0,11.41
-44.97,4.06,cape town,za,68.0,82.0,75.0,23.04
18.63,130.96,payo,ph,77.48,68.0,48.0,1.61
-50.81,-24.42,arraial do cabo,br,71.6,100.0,90.0,13.87
-2.17,32.66,muriti,tz,69.8,94.0,75.0,0.94
-11.06,-26.25,olinda,br,87.8,58.0,75.0,4.7
-9.54,160.91,auki,sb,65.51,27.0,0.0,10.45
31.13,45.04,mehran,ir,30.2,74.0,0.0,2.84
84.25,97.15,khatanga,ru,-16.94,75.0,48.0,3.74
-43.1,-169.15,vaini,to,60.96,54.0,0.0,4.74
-70.15,28.65,kruisfontein,za,68.03,92.0,92.0,13.13
-42.89,173.7,hanmer springs,nz,71.81,52.0,0.0,8.77
63.21,-15.73,hofn,is,35.13,100.0,88.0,22.64
82.34,125.84,tiksi,ru,-38.94,81.0,32.0,2.95
-23.55,-77.87,antofagasta,cl,71.6,60.0,20.0,17.22
-52.9,-161.98,avarua,ck,77.0,94.0,90.0,5.82
9.75,47.93,garowe,so,66.86,59.0,0.0,11.01
86.53,-102.38,yellowknife,ca,-7.61,63.0,75.0,16.11
61.81,-34.38,tasiilaq,gl,28.4,74.0,75.0,14.99
-54.62,176.24,dunedin,nz,73.88,56.0,0.0,10.78
41.81,162.48,severo-kurilsk,ru,18.98,100.0,24.0,4.63
-19.92,-93.61,hualmay,pe,75.9,71.0,8.0,4.18
2.14,-58.9,bonfim,br,80.6,69.0,75.0,3.36
65.77,67.85,aksarka,ru,-1.82,71.0,68.0,11.68
-59.68,146.11,hobart,au,48.2,66.0,75.0,4.7
-38.05,-53.84,maldonado,uy,86.0,42.0,20.0,8.05
-55.41,-23.12,cidreira,br,75.59,77.0,64.0,14.7
64.35,25.0,oulainen,fi,22.04,96.0,88.0,2.06
31.27,75.0,patti,in,53.6,71.0,20.0,11.41
-8.17,61.48,victoria,sc,75.97,94.0,90.0,3.62
0.79,-111.49,lazaro cardenas,mx,59.0,31.0,75.0,17.22
30.48,177.64,nikolskoye,ru,23.0,73.0,75.0,11.18
47.22,-115.37,polson,us,32.12,59.0,44.0,8.1
58.95,157.22,tigil,ru,29.42,86.0,36.0,11.45
52.5,150.92,vostok,ru,-15.09,64.0,36.0,2.17
-1.2,17.43,inongo,cd,78.15,83.0,76.0,1.5
-10.09,-7.24,jamestown,sh,51.6,77.0,88.0,15.03
43.18,-16.81,muros,es,46.4,87.0,20.0,7.43
-27.64,-43.31,ilhabela,br,75.18,100.0,44.0,5.97
-1.48,139.67,vanimo,pg,84.14,100.0,64.0,19.39
77.25,-79.48,qaanaaq,gl,-19.5,100.0,20.0,5.53
-8.4,-140.43,atuona,pf,81.26,100.0,56.0,17.16
61.69,-48.35,paamiut,gl,25.55,100.0,64.0,20.74
50.57,-31.16,lagoa,pt,60.8,55.0,0.0,14.99
-51.25,-84.37,coihaique,cl,54.93,57.0,75.0,11.41
50.44,42.92,novoanninskiy,ru,33.74,97.0,88.0,14.25
-16.22,84.36,hithadhoo,mv,81.62,100.0,0.0,5.3
-67.11,107.71,albany,au,25.88,73.0,90.0,5.82
1.12,-51.6,macapa,br,86.0,74.0,40.0,9.17
-21.92,-86.99,pisco,pe,80.6,61.0,0.0,12.75
9.08,40.2,awash,et,56.06,52.0,0.0,3.62
9.65,106.46,tra vinh,vn,76.31,94.0,64.0,2.51
-17.76,140.29,mount isa,au,84.2,58.0,0.0,6.93
-44.16,-48.54,mar del plata,ar,63.26,38.0,44.0,26.22
26.21,5.74,gat,ly,73.2,31.0,0.0,14.03
68.86,-84.32,clyde river,ca,-31.01,66.0,75.0,2.24
-73.63,54.01,east london,za,74.01,100.0,44.0,27.11
29.88,99.27,xichang,cn,19.16,83.0,0.0,1.72
-25.57,-64.59,salta,ar,80.06,61.0,75.0,4.7
2.03,119.11,tarakan,id,74.1,100.0,92.0,2.28
64.87,42.0,lukovetskiy,ru,6.8,92.0,75.0,4.47
10.03,-88.95,corinto,ni,83.28,67.0,56.0,6.42
24.51,153.01,hasaki,jp,26.38,80.0,20.0,3.36
30.11,-170.32,kapaa,us,73.4,78.0,75.0,12.75
-12.97,-91.53,san cristobal,ec,69.8,37.0,40.0,23.04
36.35,62.85,murgab,tm,26.6,53.0,5.0,2.24
48.01,49.12,aksarayskiy,ru,14.0,85.0,75.0,11.18
9.56,41.11,hirna,et,46.79,67.0,0.0,2.62
11.32,-72.67,albania,co,70.86,76.0,88.0,2.84
38.05,69.22,dangara,tj,63.21,35.0,0.0,9.89
6.84,20.72,ippy,cf,66.68,68.0,0.0,4.29
4.83,132.78,kloulklubed,pw,78.8,88.0,75.0,4.7
-80.15,52.85,port alfred,za,71.18,88.0,88.0,15.37
4.62,17.79,boali,cf,78.8,54.0,0.0,4.85
5.69,57.87,bandarbeyla,so,74.73,100.0,8.0,20.07
39.48,137.1,ryotsu,jp,40.8,100.0,80.0,16.15
-29.91,-68.66,san juan,ar,80.6,65.0,40.0,13.87
43.81,71.79,mikhaylovka,kz,6.15,78.0,64.0,5.97
-25.79,17.0,bethanien,na,74.73,25.0,0.0,11.79
61.19,142.61,okhotsk,ru,25.95,84.0,88.0,13.24
-29.09,32.44,richards bay,za,76.53,73.0,24.0,3.74
14.98,130.31,san policarpo,ph,76.67,100.0,80.0,11.12
73.84,70.68,yar-sale,ru,-1.82,83.0,44.0,11.56
-10.8,-62.35,ouro preto do oeste,br,78.29,87.0,76.0,2.51
38.45,122.15,dalianwan,cn,17.6,78.0,0.0,4.47
-14.66,-151.54,faanui,pf,79.91,100.0,56.0,10.22
-1.92,16.5,bolobo,cd,77.21,90.0,32.0,3.06
54.41,139.25,mnogovershinnyy,ru,-4.52,52.0,68.0,8.21
56.97,134.68,chumikan,ru,-6.23,58.0,36.0,13.47
1.57,-110.31,ixtapa,mx,84.2,26.0,90.0,11.41
-19.71,-50.91,paranaiba,br,85.71,70.0,12.0,4.74
46.61,2.63,montlucon,fr,33.06,86.0,0.0,1.5
-21.3,171.85,isangel,vu,78.8,94.0,64.0,1.12
18.94,-124.82,guerrero negro,mx,82.97,27.0,0.0,7.09
-7.77,158.18,gizo,sb,54.95,87.0,20.0,1.12
-36.27,77.99,bambous virieux,mu,80.6,83.0,40.0,11.41
70.39,56.81,usinsk,ru,11.46,83.0,64.0,8.55
-28.71,-62.36,santiago del estero,ar,90.93,60.0,20.0,10.56
17.49,72.28,dabhol,in,73.61,84.0,0.0,5.86
25.26,145.78,katsuura,jp,29.28,100.0,0.0,7.76
58.28,92.23,yeniseysk,ru,11.1,78.0,68.0,8.55
-23.61,103.38,carnarvon,au,73.07,35.0,0.0,17.27
47.03,-116.88,moscow,us,45.45,86.0,75.0,17.22
21.98,110.62,gaozhou,cn,42.47,100.0,92.0,4.07
80.07,145.29,chokurdakh,ru,-11.99,78.0,32.0,7.76
-6.34,115.84,singaraja,id,80.6,83.0,40.0,14.99
44.66,32.07,zaozerne,ua,36.3,93.0,80.0,22.53
-23.0,147.88,emerald,au,72.53,83.0,0.0,9.22
29.69,-38.08,ribeira grande,pt,59.0,67.0,40.0,11.41
-7.55,16.54,kasongo-lunda,cd,73.34,94.0,36.0,2.39
-39.79,-77.54,ancud,cl,55.88,74.0,76.0,6.42
81.46,80.97,dikson,ru,11.73,95.0,80.0,9.78
-7.17,-97.22,puerto ayora,ec,87.8,55.0,40.0,20.8
28.27,114.86,xinyu,cn,32.12,94.0,92.0,2.84
57.66,116.59,kropotkin,ru,41.84,95.0,92.0,28.12
29.06,-73.75,marsh harbour,bs,71.13,100.0,32.0,21.74
-2.16,104.09,jambi,id,78.33,83.0,44.0,4.63
13.31,28.36,abu zabad,sd,60.83,39.0,0.0,11.9
-6.48,111.36,rembang,id,80.31,98.0,68.0,15.59
50.87,80.47,semey,kz,-20.85,30.0,0.0,3.51
-14.19,38.99,nampula,mz,75.2,94.0,75.0,2.39
43.8,20.4,cacak,rs,37.31,78.0,0.0,2.24
45.21,146.01,otradnoye,ru,23.0,73.0,75.0,11.18
21.45,-30.39,ponta do sol,cv,74.78,95.0,68.0,4.41
-15.03,60.14,grand gaube,mu,80.6,83.0,40.0,11.41
59.11,-132.64,juneau,us,24.55,92.0,75.0,2.95
-42.7,135.18,mount gambier,au,59.3,60.0,92.0,7.65
-31.16,42.36,beloha,mg,70.37,94.0,0.0,6.64
27.37,21.24,jalu,ly,46.83,88.0,0.0,3.85
23.11,-124.52,san quintin,mx,67.76,80.0,36.0,4.85
-14.6,25.65,kaoma,zm,67.8,93.0,32.0,4.18
21.93,104.9,yen bai,vn,46.34,100.0,92.0,2.84
-50.58,72.19,souillac,mu,49.01,66.0,90.0,3.36
27.45,-83.43,saint pete beach,us,63.5,33.0,40.0,9.17
-68.72,176.13,kaitangata,nz,76.22,49.0,0.0,6.42
57.7,5.33,vigrestad,no,42.8,93.0,75.0,14.99
-18.46,114.66,karratha,au,77.48,52.0,12.0,8.55
51.17,59.59,yasnyy,ru,16.68,76.0,88.0,5.19
-12.14,-149.32,fare,pf,81.75,100.0,76.0,9.22
44.94,52.02,shetpe,kz,-0.92,68.0,0.0,2.73
30.65,32.02,ismailia,eg,42.96,94.0,0.0,2.95
50.55,2.89,annoeullin,fr,44.56,93.0,90.0,9.17
-49.38,-53.45,necochea,ar,82.2,49.0,92.0,9.1
-35.58,-64.08,general pico,ar,88.23,51.0,36.0,8.77
44.8,-22.16,rabo de peixe,pt,57.2,82.0,75.0,10.29
-4.71,-78.48,san ignacio,pe,84.2,28.0,0.0,19.46
-23.33,-39.01,sao joao da barra,br,75.2,94.0,90.0,10.29
12.28,-72.61,manaure,co,86.0,66.0,20.0,16.11
40.13,-115.58,elko,us,50.0,43.0,1.0,3.36
6.57,177.6,butaritari,ki,81.66,100.0,92.0,15.93
6.31,81.68,wattegama,lk,70.37,97.0,76.0,3.18
33.03,93.02,lasa,cn,51.13,87.0,20.0,5.82
-72.7,129.85,new norfolk,au,48.2,66.0,75.0,4.7
-30.04,-74.85,coquimbo,cl,66.2,68.0,75.0,8.05
-5.38,149.49,kimbe,pg,75.81,100.0,100.0,1.5
25.35,-93.07,freeport,us,71.6,53.0,75.0,17.22
66.44,162.23,cherskiy,ru,20.42,74.0,8.0,8.99
13.67,-35.28,porto novo,cv,66.45,100.0,92.0,3.85
0.31,-75.27,solano,co,64.43,94.0,36.0,0.94
43.22,7.22,antibes,fr,51.73,76.0,90.0,5.82
46.82,-165.42,bethel,us,8.6,84.0,1.0,16.11
46.84,-121.36,enumclaw,us,44.83,81.0,40.0,6.93
84.54,-123.51,tuktoyaktuk,ca,-19.5,74.0,40.0,5.82
13.87,101.69,kabin buri,th,73.25,96.0,76.0,3.18
-36.1,175.82,coromandel,nz,69.8,77.0,76.0,6.93
-29.5,8.19,luderitz,na,68.0,82.0,20.0,20.8
1.18,46.43,mogadishu,so,77.57,100.0,8.0,23.87
28.37,80.12,puranpur,in,43.95,82.0,12.0,3.29
-9.74,147.86,port moresby,pg,83.69,94.0,88.0,21.74
65.19,122.2,kysyl-syr,ru,-33.05,58.0,64.0,3.62
18.5,-54.94,saint-francois,gp,46.4,87.0,90.0,2.62
43.26,140.76,yoichi,jp,22.58,100.0,64.0,14.7
37.9,20.14,lixourion,gr,55.52,100.0,92.0,10.0
27.39,86.75,khandbari,np,25.28,52.0,0.0,2.17
7.88,-150.84,hilo,us,67.35,60.0,1.0,3.36
51.7,93.27,shagonar,ru,-22.02,58.0,56.0,1.28
63.87,-105.48,la ronge,ca,1.4,77.0,90.0,10.29
58.99,19.12,norrtalje,se,29.34,92.0,75.0,4.7
-2.2,29.46,kibuye,rw,63.8,89.0,68.0,3.62
55.39,-5.74,campbeltown,gb,41.86,93.0,92.0,23.04
-34.32,139.56,murray bridge,au,59.88,100.0,48.0,16.04
33.13,113.14,yunyang,cn,21.41,73.0,88.0,6.2
-50.16,63.7,saint-philippe,re,17.6,61.0,90.0,12.75
46.29,-50.17,torbay,ca,28.4,100.0,90.0,12.75
67.35,167.7,bilibino,ru,10.16,66.0,0.0,3.18
38.67,-68.47,nantucket,us,25.16,92.0,90.0,26.4
27.02,-99.63,guerrero,mx,82.4,61.0,75.0,4.7
28.9,71.83,yazman,pk,29.6,77.0,0.0,3.06
-43.99,-64.24,rawson,ar,72.03,19.0,0.0,27.78
-17.11,66.66,quatre cocos,mu,80.6,83.0,40.0,11.41
47.02,105.84,mandalgovi,mn,-21.17,26.0,0.0,5.97
75.95,-67.68,narsaq,gl,24.8,73.0,75.0,1.12
-18.85,36.51,quelimane,mz,78.78,81.0,48.0,5.3
51.74,-107.04,outlook,ca,16.91,75.0,80.0,22.3
19.97,-2.54,araouane,ml,75.9,37.0,0.0,11.45
15.73,-52.91,bathsheba,bb,84.2,70.0,40.0,20.8
22.18,-64.45,road town,vg,81.21,45.0,40.0,14.99
22.71,77.52,rehti,in,52.19,60.0,0.0,4.41
-22.13,-74.17,tocopilla,cl,68.61,87.0,0.0,6.53
-26.43,-31.0,vila velha,br,81.08,100.0,56.0,16.04
6.37,100.5,jitra,my,77.0,94.0,75.0,5.64
66.92,127.69,batagay-alyta,ru,-32.24,51.0,56.0,2.73
67.3,7.49,sistranda,no,35.6,64.0,75.0,19.46
53.14,-129.65,kitimat,ca,32.0,88.0,90.0,9.17
-43.37,162.74,te anau,nz,68.75,55.0,0.0,18.84
-34.36,14.14,saldanha,za,30.32,81.0,0.0,3.74
21.09,-99.52,jalpan,mx,64.38,44.0,88.0,3.18
56.61,-150.53,kodiak,us,44.6,36.0,1.0,19.46
-17.08,-34.96,belmonte,br,37.25,82.0,0.0,5.41
-14.84,-49.74,itapaci,br,69.78,99.0,88.0,4.41
-5.64,15.94,mbanza-ngungu,cd,71.36,91.0,32.0,3.62
63.45,134.03,khandyga,ru,-36.65,70.0,20.0,2.51
13.74,92.51,port blair,in,79.91,100.0,0.0,12.12
-2.09,-29.43,touros,br,81.89,77.0,48.0,14.36
33.3,18.46,benghazi,ly,55.4,76.0,75.0,4.7
80.15,173.0,pevek,ru,13.13,78.0,0.0,8.99
42.05,-25.72,praia da vitoria,pt,59.0,67.0,75.0,11.79
47.35,145.54,novikovo,ru,35.72,100.0,0.0,12.12
52.86,22.19,zambrow,pl,36.3,94.0,88.0,18.84
-8.02,104.67,labuhan,id,73.65,82.0,80.0,2.06
